,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
113,Romain Perraud,fr FRA,DF,27-229,20.1,820,1043,78.6,11392,3932,501,554,90.4,250,317,78.9,29,80,36.3,2,1.4,1.2,0.6,14,53,13,9,55,Matches,Real Betis,2024
114,Abde Ezzalzouli,ma MAR,"FW,MF",23-143,19.6,475,669,71.0,5947,1721,322,397,81.1,118,171,69.0,11,31,35.5,2,2.0,2.1,0.0,27,37,17,2,61,Matches,Real Betis,2024
115,Natan,br BRA,DF,24-092,20.2,945,1065,88.7,18159,5713,321,339,94.7,531,576,92.2,84,136,61.8,1,0.6,0.8,0.4,5,45,3,1,45,Matches,Real Betis,2024
116,Sergi Altimira,es ESP,MF,23-257,19.5,980,1104,88.8,15628,3679,487,528,92.2,392,425,92.2,66,85,77.6,1,1.6,1.0,-0.6,20,83,13,0,92,Matches,Real Betis,2024
117,Youssouf Sabaly,sn SEN,DF,32-065,17.3,849,980,86.6,11673,4197,526,558,94.3,277,327,84.7,21,45,46.7,1,0.8,0.9,0.2,10,49,7,5,60,Matches,Real Betis,2024
118,Pablo Fornals,es ESP,"MF,FW",29-076,17.1,732,920,79.6,11936,4236,366,419,87.4,277,346,80.1,61,94,64.9,0,3.2,2.8,-3.2,34,80,31,8,125,Matches,Real Betis,2024
119,Adrián,es ESP,GK,38-126,15.0,360,478,75.3,9194,6292,53,54,98.1,205,208,98.6,101,211,47.9,0,0.0,0.0,0.0,0,4,0,0,0,Matches,Real Betis,2024
120,Rui Silva,pt POR,GK,31-091,15.0,412,524,78.6,10283,6196,66,66,100.0,250,250,100.0,93,203,45.8,0,0.1,0.0,-0.1,2,5,0,0,0,Matches,Real Betis,2024
121,Isco,es ESP,MF,33-018,14.6,810,992,81.7,13350,3974,411,453,90.7,274,322,85.1,86,142,60.6,6,3.7,3.0,2.3,49,110,26,2,132,Matches,Real Betis,2024
122,Vitor Roque,br BRA,FW,20-070,13.7,142,195,72.8,1986,451,73,96,76.0,49,61,80.3,6,8,75.0,0,1.2,0.7,-1.2,12,4,10,3,17,Matches,Real Betis,2024
123,Giovani Lo Celso,ar ARG,"MF,FW",29-030,14.5,682,869,78.5,11179,3903,336,384,87.5,240,294,81.6,69,124,55.6,2,4.7,4.7,-2.7,40,81,37,1,124,Matches,Real Betis,2024
124,Ricardo Rodríguez,ch SUI,DF,32-257,12.3,540,661,81.7,8034,2808,315,338,93.2,186,244,76.2,24,53,45.3,0,0.3,0.6,-0.3,6,40,8,5,55,Matches,Real Betis,2024
125,Antony,br BRA,FW,25-074,12.2,517,639,80.9,6940,1786,334,380,87.9,126,162,77.8,25,43,58.1,2,3.1,2.5,-1.1,31,29,34,7,50,Matches,Real Betis,2024
126,Jesus Rodríguez,es ESP,FW,19-169,10.8,216,294,73.5,2754,848,142,172,82.6,49,69,71.0,8,12,66.7,0,0.2,0.6,-0.2,8,14,17,2,32,Matches,Real Betis,2024
127,Marc Roca,es ESP,MF,28-164,10.1,465,538,86.4,7964,2303,220,236,93.2,198,216,91.7,33,54,61.1,2,1.0,0.5,1.0,12,51,6,2,59,Matches,Real Betis,2024
128,Cucho,co COL,FW,26-019,9.7,175,245,71.4,2662,735,92,121,76.0,42,59,71.2,20,26,76.9,1,1.4,0.5,-0.4,11,16,7,1,27,Matches,Real Betis,2024
129,Aitor Ruibal,es ESP,"DF,FW",29-048,11.0,342,426,80.3,5133,2009,187,199,94.0,121,149,81.2,23,48,47.9,3,2.1,1.3,0.9,18,28,10,5,37,Matches,Real Betis,2024
130,Ezequiel Ávila,ar ARG,FW,31-092,7.5,166,238,69.7,2762,614,89,110,80.9,56,78,71.8,16,30,53.3,0,1.0,1.0,-1.0,15,1,11,6,18,Matches,Real Betis,2024
131,Héctor Bellerín,es ESP,DF,30-051,6.4,270,328,82.3,4167,1594,140,153,91.5,117,144,81.3,10,21,47.6,2,2.0,2.1,0.0,8,16,4,2,24,Matches,Real Betis,2024
132,Cédric Bakambu,cd COD,FW,34-028,6.9,68,105,64.8,787,175,48,64,75.0,14,25,56.0,1,3,33.3,2,0.6,0.8,1.4,8,9,5,0,12,Matches,Real Betis,2024
133,William Carvalho,pt POR,MF,33-032,4.3,261,301,86.7,3897,1249,141,151,93.4,91,101,90.1,15,26,57.7,0,0.1,0.3,-0.1,4,31,2,0,33,Matches,Real Betis,2024
134,Fran Vieites,es ESP,GK,26-002,4.0,76,119,63.9,2047,1345,15,15,100.0,37,37,100.0,24,67,35.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches,Real Betis,2024
135,Ángel Ortíz,es ESP,DF,20-288,3.8,152,208,73.1,2361,1036,80,90,88.9,62,85,72.9,7,20,35.0,1,0.1,0.2,0.9,3,11,3,2,14,Matches,Real Betis,2024
136,Iker Losada,es ESP,"MF,FW",23-281,3.7,107,142,75.4,1421,331,73,87,83.9,25,34,73.5,4,8,50.0,0,0.3,0.2,-0.3,6,4,5,1,14,Matches,Real Betis,2024
137,Assane Diao,sn SEN,FW,19-244,3.1,49,66,74.2,626,139,36,43,83.7,6,8,75.0,2,2,100.0,2,1.5,0.6,0.5,8,2,1,1,1,Matches,Real Betis,2024
138,Juanmi,es ESP,"FW,MF",31-354,2.7,58,70,82.9,674,153,49,54,90.7,6,8,75.0,2,2,100.0,0,0.4,0.1,-0.4,4,2,1,0,4,Matches,Real Betis,2024
139,Nabil Fekir,fr FRA,MF,31-295,2.0,67,82,81.7,1052,381,38,43,88.4,20,23,87.0,6,10,60.0,1,0.5,0.8,0.5,6,5,6,2,10,Matches,Real Betis,2024
140,Carlos Guirao,es ESP,MF,22-012,1.2,36,46,78.3,539,117,19,21,90.5,12,13,92.3,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches,Real Betis,2024
141,Mateo Flores,es ESP,MF,21-032,1.7,56,69,81.2,955,282,25,30,83.3,28,32,87.5,3,5,60.0,0,0.0,0.1,0.0,0,3,1,1,9,Matches,Real Betis,2024
142,Rodri,es ESP,FW,24-358,1.3,56,66,84.8,941,282,35,36,97.2,14,17,82.4,7,11,63.6,0,0.1,0.3,-0.1,2,4,5,0,8,Matches,Real Betis,2024
143,Sergio Arribas,es ESP,DF,22-088,1.0,37,54,68.5,533,210,22,23,95.7,12,20,60.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,Real Betis,2024
144,Pablo Garcia,es ESP,FW,18-267,0.3,5,8,62.5,93,14,2,2,100.0,3,5,60.0,0,1,0.0,0,0.0,0.1,0.0,0,0,0,0,0,Matches,Real Betis,2024
145,Sergi Cardona,es ESP,DF,25-305,30.7,1056,1370,77.1,17557,6240,513,593,86.5,458,561,81.6,70,149,47.0,7,5.8,4.3,1.2,45,58,42,25,68,Matches,Villarreal,2024
146,Santi Comesaña,es ESP,MF,28-216,26.1,1091,1291,84.5,18471,5971,510,570,89.5,476,532,89.5,83,128,64.8,2,2.0,2.4,0.0,26,135,28,3,146,Matches,Villarreal,2024
147,Kiko Femenía,es ESP,DF,34-096,24.7,1339,1506,88.9,22076,7230,679,717,94.7,562,624,90.1,82,126,65.1,1,1.3,2.1,-0.3,16,108,24,14,112,Matches,Villarreal,2024
148,Alex Baena,es ESP,MF,23-293,25.2,766,1153,66.4,15596,5858,275,346,79.5,363,495,73.3,119,244,48.8,8,10.2,11.4,-2.2,85,88,66,16,170,Matches,Villarreal,2024
149,Logan Costa,cv CPV,DF,24-038,24.7,1162,1334,87.1,22409,8318,422,447,94.4,588,633,92.9,137,230,59.6,0,0.4,0.5,-0.4,3,89,5,0,103,Matches,Villarreal,2024
150,Thierno Barry,fr FRA,FW,22-200,24.3,198,317,62.5,2821,504,108,158,68.4,69,113,61.1,9,17,52.9,3,2.7,1.5,0.3,21,14,12,1,27,Matches,Villarreal,2024
151,Daniel Parejo,es ESP,MF,36-023,23.2,1277,1454,87.8,24095,7370,504,546,92.3,600,649,92.4,158,219,72.1,3,1.8,1.8,1.2,20,166,15,3,168,Matches,Villarreal,2024
152,Pape Gueye,sn SEN,MF,26-105,22.0,805,1008,79.9,14847,4919,363,412,88.1,334,386,86.5,99,166,59.6,0,1.0,2.0,-1.0,16,110,21,2,141,Matches,Villarreal,2024
153,Diego Conde,es ESP,GK,26-193,20.8,486,606,80.2,11767,7703,114,115,99.1,266,272,97.8,103,215,47.9,1,0.2,0.0,0.8,2,7,1,0,0,Matches,Villarreal,2024
154,Yeremi Pino,es ESP,MF,22-201,18.5,445,606,73.4,6710,1834,253,315,80.3,156,201,77.6,23,36,63.9,5,4.4,3.3,0.6,31,28,25,7,53,Matches,Villarreal,2024
155,Ayoze Pérez,es ESP,FW,31-284,19.6,293,391,74.9,4710,1214,133,164,81.1,131,159,82.4,18,29,62.1,2,2.5,1.8,-0.5,27,35,19,5,69,Matches,Villarreal,2024
156,Juan Foyth,ar ARG,DF,27-117,13.9,699,812,86.1,13269,5312,248,267,92.9,371,406,91.4,71,117,60.7,0,0.3,0.9,-0.3,7,48,8,2,60,Matches,Villarreal,2024
157,Raúl Albiol,es ESP,DF,39-247,13.2,727,813,89.4,14582,6006,213,225,94.7,433,463,93.5,76,115,66.1,0,0.0,0.1,0.0,0,26,1,0,34,Matches,Villarreal,2024
158,Luiz Lúcio Reis Júnior,br BRA,GK,24-115,13.2,289,396,73.0,7590,5464,69,70,98.6,134,136,98.5,81,184,44.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches,Villarreal,2024
159,Nicolas Pépé,ci CIV,"FW,MF",29-345,13.6,423,541,78.2,5862,1340,250,274,91.2,128,166,77.1,24,43,55.8,5,3.8,3.6,1.2,26,21,24,3,52,Matches,Villarreal,2024
160,Willy Kambwala,fr FRA,DF,20-257,10.4,406,466,87.1,7687,2702,140,153,91.5,225,238,94.5,36,63,57.1,0,0.1,0.1,-0.1,1,8,1,0,15,Matches,Villarreal,2024
161,Eric Bailly,ci CIV,DF,31-027,6.9,280,320,87.5,5019,1914,103,109,94.5,150,165,90.9,23,41,56.1,0,0.0,0.0,0.0,0,18,0,0,18,Matches,Villarreal,2024
162,Ilias Akhomach,ma MAR,"MF,FW",21-023,6.5,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12,Matches,Villarreal,2024
163,Gerard Moreno,es ESP,FW,33-032,7.2,204,269,75.8,3689,1050,93,110,84.5,81,94,86.2,25,40,62.5,1,3.0,1.7,-2.0,15,28,15,2,48,Matches,Villarreal,2024
164,Denis Suárez,es ESP,MF,31-123,5.9,179,235,76.2,2864,944,102,117,87.2,53,64,82.8,17,35,48.6,1,1.4,1.6,-0.4,13,14,6,2,27,Matches,Villarreal,2024
165,Pau Navarro,es ESP,DF,20-014,7.2,361,409,88.3,6100,2177,162,174,93.1,172,190,90.5,20,32,62.5,0,0.0,0.1,0.0,0,19,1,0,29,Matches,Villarreal,2024
166,Tajon Buchanan,ca CAN,MF,26-090,3.3,74,110,67.3,997,271,53,68,77.9,11,19,57.9,6,11,54.5,1,0.5,0.5,0.5,3,2,4,1,4,Matches,Villarreal,2024
167,Arnaut Danjuma,nl NED,FW,28-098,2.2,23,30,76.7,359,40,11,15,73.3,10,12,83.3,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches,Villarreal,2024
168,Alfonso Pedraza,es ESP,"DF,MF",29-030,3.1,97,140,69.3,1499,553,47,49,95.9,39,52,75.0,5,18,27.8,0,0.6,0.9,-0.6,5,7,6,5,7,Matches,Villarreal,2024
169,Juan Bernat,es ESP,"DF,MF",32-069,2.4,101,130,77.7,1479,244,54,61,88.5,45,53,84.9,1,6,16.7,1,0.4,0.4,0.6,4,4,1,1,8,Matches,Villarreal,2024
170,Ramón Terrats,es ESP,"MF,FW",24-203,1.5,64,79,81.0,1157,305,28,29,96.6,27,35,77.1,7,12,58.3,0,0.3,0.4,-0.3,1,7,2,1,7,Matches,Villarreal,2024
171,Pau Cabanes,es ESP,"MF,FW",20-081,1.8,60,84,71.4,897,192,37,45,82.2,21,29,72.4,1,3,33.3,0,0.4,0.2,-0.4,4,1,3,0,11,Matches,Villarreal,2024
172,Arnau Solà,es ESP,MF,22-035,0.1,1,2,50.0,11,3,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Villarreal,2024
173,Thiago Ojeda,ar ARG,MF,22-117,0.1,7,8,87.5,103,15,4,4,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches,Villarreal,2024
174,Karl Etta,cm CMR,MF,21-207,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Villarreal,2024
175,Vicente Guaita,es ESP,GK,38-119,30.0,709,852,83.2,16463,10390,163,164,99.4,378,380,99.5,154,292,52.7,0,0.0,0.0,0.0,0,1,0,0,1,Matches,Celta Vigo,2024
176,Óscar Mingueza,es ESP,"MF,DF",25-361,26.6,1503,1943,77.4,26144,10302,696,768,90.6,621,784,79.2,148,296,50.0,6,5.2,5.7,0.8,28,158,62,11,178,Matches,Celta Vigo,2024
177,Marcos Alonso,es ESP,DF,34-132,27.0,1956,2197,89.0,35501,12899,782,830,94.2,983,1038,94.7,164,266,61.7,0,1.0,1.8,-1.0,16,204,18,5,199,Matches,Celta Vigo,2024
178,Carl Starfelt,se SWE,DF,29-342,25.2,1539,1643,93.7,27778,9742,555,579,95.9,895,937,95.5,80,105,76.2,0,0.2,0.2,-0.2,6,56,1,0,66,Matches,Celta Vigo,2024
179,Fran Beltrán,es ESP,MF,26-095,23.4,1171,1319,88.8,20777,5811,484,523,92.5,561,604,92.9,103,136,75.7,0,1.6,1.5,-1.6,14,126,13,1,140,Matches,Celta Vigo,2024
180,Javi Rodríguez,es ESP,DF,21-317,24.4,1282,1485,86.3,23219,7099,491,533,92.1,664,723,91.8,112,187,59.9,2,0.9,0.9,1.1,11,95,9,1,99,Matches,Celta Vigo,2024
181,Borja Iglesias,es ESP,FW,32-112,19.9,318,449,70.8,4601,728,178,229,77.7,97,122,79.5,18,29,62.1,3,2.7,1.3,0.3,16,18,9,0,26,Matches,Celta Vigo,2024
182,Ilaix Moriba,gn GUI,MF,22-110,19.7,745,864,86.2,11875,3158,372,422,88.2,281,312,90.1,56,74,75.7,1,1.5,2.3,-0.5,19,93,18,2,106,Matches,Celta Vigo,2024
183,Iago Aspas,es ESP,"FW,MF",37-281,17.7,597,799,74.7,9648,2791,316,392,80.6,181,228,79.4,66,97,68.0,4,3.8,3.6,0.2,34,72,33,3,121,Matches,Celta Vigo,2024
184,Sergio Carreira,es ESP,"MF,DF",24-208,16.4,597,787,75.9,9937,3209,289,337,85.8,266,334,79.6,38,77,49.4,4,3.1,2.3,0.9,15,31,23,8,49,Matches,Celta Vigo,2024
185,Hugo Álvarez,es ESP,"MF,DF",21-311,16.4,756,958,78.9,11569,3078,403,462,87.2,306,369,82.9,29,54,53.7,3,1.1,2.0,1.9,17,32,14,3,55,Matches,Celta Vigo,2024
186,Hugo Sotelo,es ESP,MF,21-141,13.9,872,1016,85.8,16248,4269,350,370,94.6,400,436,91.7,102,170,60.0,0,1.7,1.8,-1.7,19,100,12,3,83,Matches,Celta Vigo,2024
187,Pablo Durán,es ESP,"FW,MF",23-349,13.1,252,356,70.8,3728,681,135,167,80.8,89,111,80.2,15,35,42.9,4,2.8,1.0,1.2,15,19,10,3,28,Matches,Celta Vigo,2024
188,Williot Swedberg,se SWE,"FW,MF",21-097,13.0,238,330,72.1,3307,671,145,180,80.6,65,90,72.2,12,19,63.2,3,2.0,1.8,1.0,12,15,10,1,24,Matches,Celta Vigo,2024
189,Alfon,es ESP,"FW,MF",26-005,13.5,244,341,71.6,3568,491,138,157,87.9,84,114,73.7,11,24,45.8,2,2.3,2.0,-0.3,21,7,5,1,20,Matches,Celta Vigo,2024
190,Carlos Dominguez,es ESP,DF,24-087,10.0,674,773,87.2,12351,4199,210,224,93.8,424,459,92.4,31,73,42.5,0,0.1,0.2,-0.1,2,52,0,0,56,Matches,Celta Vigo,2024
191,Jonathan Bamba,ci CIV,"FW,MF",29-044,9.0,287,364,78.8,4015,1041,170,197,86.3,85,102,83.3,14,24,58.3,1,1.8,1.6,-0.8,12,20,13,6,30,Matches,Celta Vigo,2024
192,Damián Rodríguez,es ESP,MF,22-053,9.8,694,780,89.0,11955,3319,303,326,92.9,328,347,94.5,51,81,63.0,0,0.7,1.2,-0.7,15,82,3,0,70,Matches,Celta Vigo,2024
193,Javier Manquillo,es ESP,DF,31-004,5.7,335,373,89.8,5537,1582,156,169,92.3,163,172,94.8,13,23,56.5,0,0.0,0.1,0.0,0,22,2,0,24,Matches,Celta Vigo,2024
194,Anastasios Douvikas,gr GRE,FW,25-280,7.8,76,107,71.0,1074,147,39,53,73.6,30,37,81.1,2,2,100.0,1,0.2,0.2,0.8,3,2,1,0,6,Matches,Celta Vigo,2024
195,Jailson Siqueira,br BRA,"DF,MF",29-244,6.8,435,481,90.4,7809,2959,162,173,93.6,238,252,94.4,32,46,69.6,0,0.0,0.1,0.0,1,33,0,0,43,Matches,Celta Vigo,2024
196,Fer López,,"FW,MF",,5.9,190,224,84.8,3154,733,98,108,90.7,76,87,87.4,12,17,70.6,0,1.5,1.3,-1.5,12,16,11,0,37,Matches,Celta Vigo,2024
197,Yoel Lago,es ESP,DF,21-045,4.3,249,268,92.9,4674,1903,76,80,95.0,150,156,96.2,21,30,70.0,1,0.1,0.0,0.9,1,17,0,0,23,Matches,Celta Vigo,2024
198,Iván Villar,es ESP,GK,27-304,4.0,95,117,81.2,1704,1111,30,30,100.0,44,44,100.0,10,32,31.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Celta Vigo,2024
199,Iker Losada,es ESP,"FW,MF",23-281,3.8,93,122,76.2,1379,329,55,65,84.6,31,40,77.5,4,7,57.1,0,0.3,0.6,-0.3,5,14,5,2,16,Matches,Celta Vigo,2024
200,Franco Cervi,ar ARG,"FW,MF",30-348,2.9,90,131,68.7,1658,584,36,46,78.3,44,52,84.6,8,22,36.4,0,0.3,0.3,-0.3,5,12,2,0,14,Matches,Celta Vigo,2024
201,Mihailo Ristić,rs SRB,"MF,DF",29-190,2.7,119,155,76.8,2027,607,55,61,90.2,55,66,83.3,8,19,42.1,1,0.1,0.0,0.9,2,5,0,0,4,Matches,Celta Vigo,2024
202,Luca de la Torre,us USA,MF,26-351,0.0,4,5,80.0,55,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Celta Vigo,2024
203,Joseph Aidoo,gh GHA,DF,29-222,0.0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,Celta Vigo,2024
204,Tadeo Allende,ar ARG,FW,26-078,0.0,1,3,33.3,7,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Celta Vigo,2024
205,Florian Lejeune,fr FRA,DF,33-354,32.9,1547,1849,83.7,33330,13891,431,479,90.0,885,944,93.8,226,399,56.6,2,1.1,1.0,0.9,11,153,6,2,129,Matches,Rayo Vallecano,2024
206,Andrei Ratiu,ro ROU,DF,26-323,30.2,1328,1622,81.9,20193,7011,752,838,89.7,498,589,84.6,58,113,51.3,3,5.4,3.3,-2.4,30,97,19,9,131,Matches,Rayo Vallecano,2024
207,Augusto Batalla,ar ARG,GK,29-009,28.0,697,1035,67.3,20624,15301,102,103,99.0,357,362,98.6,237,564,42.0,0,0.0,0.1,0.0,1,23,1,0,2,Matches,Rayo Vallecano,2024
208,Jorge de Frutos,es ESP,"FW,MF",28-078,24.7,428,629,68.0,5967,1559,262,325,80.6,120,177,67.8,22,47,46.8,3,3.3,2.3,-0.3,28,22,27,13,42,Matches,Rayo Vallecano,2024
209,Pep Chavarría,es ESP,"DF,FW",27-029,25.4,1100,1374,80.1,17556,6198,582,653,89.1,427,520,82.1,72,138,52.2,1,1.5,1.8,-0.5,20,67,22,10,98,Matches,Rayo Vallecano,2024
210,Álvaro García,es ESP,"FW,MF",32-194,25.2,494,768,64.3,7584,2325,270,347,77.8,165,251,65.7,34,92,37.0,5,4.6,5.1,0.4,45,25,39,17,64,Matches,Rayo Vallecano,2024
211,Abdul Mumin,gh GHA,DF,26-337,22.4,900,1085,82.9,17231,7016,315,339,92.9,492,536,91.8,87,190,45.8,1,0.2,0.1,0.8,1,40,1,0,40,Matches,Rayo Vallecano,2024
212,Pathé Ciss,sn SEN,"MF,DF",31-054,21.0,905,1068,84.7,15761,5131,401,448,89.5,410,456,89.9,77,113,68.1,1,1.1,0.8,-0.1,16,93,7,0,113,Matches,Rayo Vallecano,2024
213,Isaac Palazón Camacho,es ESP,"MF,FW",30-133,20.0,644,828,77.8,10601,3143,347,392,88.5,213,257,82.9,68,125,54.4,4,3.4,3.2,0.6,36,67,15,3,102,Matches,Rayo Vallecano,2024
214,Unai López,es ESP,MF,29-191,16.8,922,1092,84.4,15745,4066,436,475,91.8,393,438,89.7,80,148,54.1,1,0.8,1.0,0.2,17,94,9,1,102,Matches,Rayo Vallecano,2024
215,Óscar Valentín,es ESP,MF,30-262,18.6,622,753,82.6,9876,3489,314,352,89.2,261,301,86.7,37,66,56.1,0,0.8,1.1,-0.8,11,67,6,1,82,Matches,Rayo Vallecano,2024
216,Adri Embarba,es ESP,"FW,MF",33-002,16.5,352,552,63.8,5700,1410,200,249,80.3,99,147,67.3,40,109,36.7,1,2.7,2.5,-1.7,20,20,17,10,42,Matches,Rayo Vallecano,2024
217,Randy Nteka,ao ANG,FW,27-154,12.5,144,223,64.6,1834,230,94,123,76.4,39,65,60.0,3,6,50.0,0,0.5,0.3,-0.5,9,5,2,0,8,Matches,Rayo Vallecano,2024
218,Sergio Camello,es ESP,FW,24-088,12.6,207,263,78.7,2869,452,127,151,84.1,61,73,83.6,7,9,77.8,2,2.0,1.1,0.0,19,12,7,0,27,Matches,Rayo Vallecano,2024
219,Pedro Díaz,es ESP,MF,26-338,11.5,385,486,79.2,5796,1628,223,253,88.1,116,132,87.9,29,71,40.8,0,1.4,1.7,-1.4,19,36,14,2,51,Matches,Rayo Vallecano,2024
220,Iván Balliu,al ALB,DF,33-128,10.0,352,476,73.9,5773,2437,176,197,89.3,147,188,78.2,23,65,35.4,0,0.4,0.3,-0.4,5,29,3,1,34,Matches,Rayo Vallecano,2024
221,Aridane Hernández,es ESP,DF,36-047,8.4,333,382,87.2,6168,2103,144,155,92.9,153,168,91.1,33,51,64.7,0,0.0,0.0,0.0,1,13,0,0,30,Matches,Rayo Vallecano,2024
222,Alfonso Espino,uy URU,DF,33-124,8.2,311,427,72.8,4780,2166,176,196,89.8,112,157,71.3,18,56,32.1,0,0.2,0.4,-0.2,2,33,4,3,35,Matches,Rayo Vallecano,2024
223,Gerard Gumbau,es ESP,MF,30-142,8.6,287,382,75.1,4854,1511,144,165,87.3,103,126,81.7,30,70,42.9,1,1.3,0.8,-0.3,17,32,3,1,34,Matches,Rayo Vallecano,2024
224,Cárdenas,es ESP,GK,28-042,6.0,94,179,52.5,3014,2377,11,11,100.0,51,52,98.1,32,115,27.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches,Rayo Vallecano,2024
225,Óscar Trejo,ar ARG,MF,37-013,5.4,244,292,83.6,3202,737,162,177,91.5,60,75,80.0,10,20,50.0,0,0.9,0.3,-0.9,7,29,5,0,35,Matches,Rayo Vallecano,2024
226,Sergi Guardiola,es ESP,FW,33-345,4.0,56,84,66.7,703,192,41,55,74.5,10,16,62.5,3,5,60.0,0,0.1,0.2,-0.1,5,2,3,1,3,Matches,Rayo Vallecano,2024
227,James Rodríguez,co COL,"MF,FW",33-301,1.6,78,98,79.6,1368,440,40,44,90.9,21,25,84.0,13,24,54.2,0,0.2,0.3,-0.2,2,12,1,0,13,Matches,Rayo Vallecano,2024
228,Pelayo Fernandez,es ESP,DF,22-010,1.0,20,24,83.3,365,130,12,13,92.3,6,8,75.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Rayo Vallecano,2024
