Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
Jeremy Sarmiento,ec ECU,MF,22-334,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Brighton and Hove Albion,2024
Moisés Caicedo,ec ECU,"MF,DF",23-195,35.2,10,0,0,66,55,0,10,49,67,2,1,0,211,35,15,70.0,Matches,Chelsea,2024
Cole Palmer,eng ENG,MF,23-010,33.5,6,0,0,14,58,6,138,11,17,1,0,0,100,2,7,22.2,Matches,Chelsea,2024
Levi Colwill,eng ENG,DF,22-079,33.0,9,0,0,43,20,4,13,32,32,0,1,0,115,77,52,59.7,Matches,Chelsea,2024
Marc Cucurella,es ESP,DF,26-298,31.2,10,1,1,34,34,3,31,25,39,0,0,0,121,30,54,35.7,Matches,Chelsea,2024
Enzo Fernández,ar ARG,MF,24-119,30.7,8,0,0,48,50,1,108,13,32,0,0,0,148,14,28,33.3,Matches,Chelsea,2024
Robert Sánchez,es ESP,GK,27-179,30.0,5,0,0,2,4,0,0,2,0,0,2,0,42,9,0,100.0,Matches,Chelsea,2024
Nicolas Jackson,sn SEN,FW,23-330,24.7,7,1,0,35,29,23,3,3,13,0,0,0,48,21,36,36.8,Matches,Chelsea,2024
Noni Madueke,eng ENG,FW,23-067,20.6,3,0,0,21,24,5,59,8,15,0,0,0,73,10,16,38.5,Matches,Chelsea,2024
Pedro Neto,pt POR,FW,25-068,23.4,8,0,0,19,31,3,140,9,9,0,0,0,75,11,27,28.9,Matches,Chelsea,2024
Malo Gusto,fr FRA,DF,21-362,20.5,4,0,0,20,19,2,52,24,28,0,0,0,116,9,15,37.5,Matches,Chelsea,2024
Jadon Sancho,eng ENG,FW,25-052,18.9,2,0,0,6,11,6,24,2,7,2,0,0,97,6,10,37.5,Matches,Chelsea,2024
Wesley Fofana,fr FRA,DF,24-150,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,Matches,Chelsea,2024
Tosin Adarabioyo,eng ENG,DF,27-234,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches,Chelsea,2024
Trevoh Chalobah,eng ENG,DF,25-315,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7,Matches,Chelsea,2024
Roméo Lavia,be BEL,MF,21-130,8.4,4,0,0,15,6,0,0,16,13,0,1,0,39,12,3,80.0,Matches,Chelsea,2024
Reece James,eng ENG,"DF,MF",25-159,9.8,1,0,0,6,11,0,41,13,9,0,0,0,57,22,6,78.6,Matches,Chelsea,2024
Christopher Nkunku,fr FRA,FW,27-183,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1,Matches,Chelsea,2024
Filip Jørgensen,dk DEN,GK,23-030,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,Matches,Chelsea,2024
Axel Disasi,fr FRA,DF,27-066,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,Matches,Chelsea,2024
João Félix,pt POR,"FW,MF",25-187,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches,Chelsea,2024
Benoît Badiashile,fr FRA,DF,24-051,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,Matches,Chelsea,2024
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-252,2.9,0,0,0,4,6,0,2,1,5,0,0,0,9,0,1,0.0,Matches,Chelsea,2024
Joshua Acheampong,eng ENG,DF,19-011,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches,Chelsea,2024
Renato Veiga,pt POR,"DF,MF",21-291,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0,Matches,Chelsea,2024
Mykhailo Mudryk,ua UKR,FW,24-131,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3,Matches,Chelsea,2024
Tyrique George,eng ENG,FW,19-101,1.1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,3,0.0,Matches,Chelsea,2024
Marc Guiu,es ESP,FW,19-132,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches,Chelsea,2024
Mathis Amougou,fr FRA,MF,19-118,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Chelsea,2024
Shumaira Mheuka,eng ENG,MF,17-208,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,Chelsea,2024
Dean Henderson,eng ENG,GK,28-065,36.0,3,0,0,0,1,0,0,0,1,0,0,0,25,11,1,91.7,Matches,Crystal Palace,2024
Tyrick Mitchell,eng ENG,DF,25-257,33.4,2,0,0,21,24,2,102,14,54,1,0,0,159,18,21,46.2,Matches,Crystal Palace,2024
Daniel Muñoz,co COL,DF,28-355,33.9,10,0,0,49,19,14,73,41,75,0,0,0,159,58,76,43.3,Matches,Crystal Palace,2024
Marc Guéhi,eng ENG,DF,24-307,34.0,9,1,1,24,27,1,13,28,34,0,0,3,145,68,58,54.0,Matches,Crystal Palace,2024
Maxence Lacroix,fr FRA,DF,25-040,32.6,5,0,0,34,19,1,6,52,40,0,1,0,125,57,49,53.8,Matches,Crystal Palace,2024
Jean-Philippe Mateta,fr FRA,FW,27-322,28.6,2,0,0,27,28,19,26,2,12,0,0,0,67,63,101,38.4,Matches,Crystal Palace,2024
Eberechi Eze,eng ENG,"MF,FW",26-321,28.0,1,0,0,12,51,9,110,11,22,0,0,0,137,7,37,15.9,Matches,Crystal Palace,2024
Ismaila Sarr,sn SEN,MF,27-080,28.4,4,0,0,13,55,11,55,9,10,1,0,0,105,33,49,40.2,Matches,Crystal Palace,2024
Jefferson Lerma,co COL,"MF,DF",30-203,23.3,9,0,0,35,38,0,11,37,16,0,0,0,144,39,39,50.0,Matches,Crystal Palace,2024
Will Hughes,eng ENG,MF,30-029,22.1,11,0,0,62,31,0,71,21,33,0,1,0,114,18,17,51.4,Matches,Crystal Palace,2024
Chris Richards,us USA,DF,25-049,19.4,4,1,1,11,4,1,5,19,28,1,0,0,50,41,39,51.3,Matches,Crystal Palace,2024
Adam Wharton,eng ENG,MF,20-348,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4,Matches,Crystal Palace,2024
Daichi Kamada,jp JPN,MF,28-284,16.2,4,1,0,27,19,2,31,16,28,0,0,0,79,4,13,23.5,Matches,Crystal Palace,2024
Trevoh Chalobah,eng ENG,DF,25-315,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches,Crystal Palace,2024
Eddie Nketiah,eng ENG,"FW,MF",25-351,10.3,6,1,1,28,26,4,5,2,7,1,0,0,22,20,33,37.7,Matches,Crystal Palace,2024
Nathaniel Clyne,eng ENG,"DF,MF",34-041,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,Matches,Crystal Palace,2024
Cheick Doucouré,ml MLI,MF,25-128,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches,Crystal Palace,2024
Justin Devenny,nir NIR,MF,21-217,4.8,1,0,0,7,0,1,17,0,9,0,0,0,22,2,13,13.3,Matches,Crystal Palace,2024
Odsonne Édouard,fr FRA,"MF,FW",27-120,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,Matches,Crystal Palace,2024
Joachim Andersen,dk DEN,DF,28-350,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches,Crystal Palace,2024
Chadi Riad,ma MAR,DF,21-333,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3,Matches,Crystal Palace,2024
Ben Chilwell,eng ENG,DF,28-146,1.9,1,0,0,2,2,2,4,4,5,0,0,0,13,3,3,50.0,Matches,Crystal Palace,2024
Jeffrey Schlupp,gh GHA,"MF,DF",32-144,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9,Matches,Crystal Palace,2024
Romain Esse,eng ENG,MF,20-003,0.5,0,0,0,1,0,0,0,1,2,0,0,0,2,1,1,50.0,Matches,Crystal Palace,2024
Matheus França,br BRA,"FW,MF",21-045,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches,Crystal Palace,2024
Jordan Ayew,gh GHA,"FW,MF",33-247,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches,Crystal Palace,2024
Caleb Kporha,eng ENG,DF,18-305,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches,Crystal Palace,2024
Asher Agbinone,eng ENG,MF,19-230,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches,Crystal Palace,2024
Joel Ward,eng ENG,DF,35-199,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,Crystal Palace,2024
Jordan Pickford,eng ENG,GK,31-070,36.0,7,0,0,0,7,0,0,1,0,0,0,0,33,4,1,80.0,Matches,Everton,2024
James Tarkowski,eng ENG,DF,32-178,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6,Matches,Everton,2024
Vitaliy Mykolenko,ua UKR,DF,25-352,32.2,3,0,0,21,30,3,93,39,33,0,1,0,81,47,37,56.0,Matches,Everton,2024
Idrissa Gana Gueye,sn SEN,MF,35-232,32.0,8,0,0,52,43,0,7,44,74,0,0,0,182,23,15,60.5,Matches,Everton,2024
Abdoulaye Doucouré,ml MLI,MF,32-135,27.6,5,1,1,47,5,10,23,9,27,0,0,0,145,29,43,40.3,Matches,Everton,2024
Jarrad Branthwaite,eng ENG,DF,22-323,27.1,4,0,0,12,18,1,5,25,20,0,0,0,89,55,41,57.3,Matches,Everton,2024
Iliman Ndiaye,sn SEN,FW,25-071,25.4,3,0,0,24,48,5,38,17,25,0,0,0,163,6,19,24.0,Matches,Everton,2024
Jack Harrison,eng ENG,FW,28-177,21.8,0,0,0,13,27,4,126,9,22,1,0,0,68,4,26,13.3,Matches,Everton,2024
Dominic Calvert-Lewin,eng ENG,FW,28-061,17.7,2,0,0,27,23,27,6,6,7,0,0,0,34,84,80,51.2,Matches,Everton,2024
Ashley Young,eng ENG,"DF,FW",39-311,19.0,6,1,0,26,19,0,70,24,30,0,0,0,66,10,11,47.6,Matches,Everton,2024
James Garner,eng ENG,"MF,DF",24-064,15.7,3,0,0,19,15,0,53,20,28,0,0,0,66,10,8,55.6,Matches,Everton,2024
Jake O'Brien,ie IRL,DF,24-001,15.5,5,0,0,13,4,3,18,4,16,0,0,0,51,33,27,55.0,Matches,Everton,2024
Jesper Lindstrøm,dk DEN,FW,25-076,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3,Matches,Everton,2024
Dwight McNeil,eng ENG,"MF,FW",25-175,14.4,1,0,0,6,16,1,98,5,7,0,0,0,72,3,15,16.7,Matches,Everton,2024
Orel Mangala,be BEL,MF,27-059,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9,Matches,Everton,2024
Beto,gw GNB,FW,27-105,15.1,2,0,0,31,20,14,4,3,6,0,0,0,33,86,95,47.5,Matches,Everton,2024
Michael Keane,eng ENG,DF,32-125,10.5,5,0,0,9,0,0,1,15,7,0,0,0,25,23,18,56.1,Matches,Everton,2024
Carlos Alcaraz,ar ARG,"FW,MF",22-167,7.4,4,0,0,11,11,1,10,4,5,0,0,0,32,13,6,68.4,Matches,Everton,2024
Tim Iroegbunam,eng ENG,MF,21-320,6.4,4,0,0,15,12,0,1,16,14,0,0,0,51,11,4,73.3,Matches,Everton,2024
Armando Broja,al ALB,FW,23-248,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches,Everton,2024
Nathan Patterson,sct SCO,DF,23-212,3.9,1,0,0,6,1,0,14,2,6,0,0,0,12,1,7,12.5,Matches,Everton,2024
Séamus Coleman,ie IRL,DF,36-217,2.2,1,0,0,0,1,0,3,1,2,0,0,0,7,2,1,66.7,Matches,Everton,2024
Roman Dixon,eng ENG,DF,20-141,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0,Matches,Everton,2024
Harrison Armstrong,eng ENG,MF,18-117,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0,Matches,Everton,2024
Youssef Chermiti,pt POR,"FW,MF",20-357,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7,Matches,Everton,2024
Mason Holgate,eng ENG,"FW,DF",28-206,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,Everton,2024
Bernd Leno,de GER,GK,33-073,36.0,4,0,0,0,3,0,0,0,2,0,0,0,48,9,1,90.0,Matches,Fulham,2024
Alex Iwobi,ng NGA,"FW,MF",29-013,32.1,1,0,0,18,18,5,124,13,24,0,0,0,133,6,31,16.2,Matches,Fulham,2024
Antonee Robinson,us USA,DF,27-281,33.2,8,0,0,31,17,6,165,57,57,0,0,0,148,45,25,64.3,Matches,Fulham,2024
Calvin Bassey,ng NGA,DF,25-136,33.2,7,0,0,26,31,2,8,19,33,0,0,0,163,41,32,56.2,Matches,Fulham,2024
Raúl Jiménez,mx MEX,FW,34-011,25.7,4,0,0,39,38,14,23,10,23,1,0,0,77,81,95,46.0,Matches,Fulham,2024
Joachim Andersen,dk DEN,DF,28-350,26.7,5,1,0,17,17,0,11,31,18,0,0,1,111,67,38,63.8,Matches,Fulham,2024
Saša Lukić,rs SRB,MF,28-276,24.1,12,0,0,62,26,0,55,26,37,0,0,0,107,18,24,42.9,Matches,Fulham,2024
Sander Berge,no NOR,MF,27-091,24.2,6,0,0,31,10,0,3,21,28,0,0,0,122,28,21,57.1,Matches,Fulham,2024
Andreas Pereira,br BRA,MF,29-135,21.7,7,0,0,28,24,1,171,8,13,1,0,0,100,12,21,36.4,Matches,Fulham,2024
Emile Smith Rowe,eng ENG,MF,24-292,21.6,2,0,0,18,14,4,15,11,18,0,0,0,73,6,17,26.1,Matches,Fulham,2024
Kenny Tete,nl NED,DF,29-219,17.7,4,0,0,29,14,1,33,29,34,0,0,0,66,18,15,54.5,Matches,Fulham,2024
Timothy Castagne,be BEL,DF,29-162,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3,Matches,Fulham,2024
Adama Traoré,es ESP,"FW,MF",29-111,18.0,3,0,0,20,29,1,94,1,12,0,0,0,78,25,26,49.0,Matches,Fulham,2024
Issa Diop,fr FRA,DF,28-127,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,Matches,Fulham,2024
Harry Wilson,wls WAL,"FW,MF",28-055,12.0,2,0,0,11,21,1,41,5,11,1,0,0,53,5,18,21.7,Matches,Fulham,2024
Rodrigo Muniz,br BRA,FW,24-012,10.7,1,0,0,11,31,3,1,5,5,0,0,0,14,67,63,51.5,Matches,Fulham,2024
Ryan Sessegnon,eng ENG,"FW,DF",24-363,6.1,1,0,0,19,4,1,14,3,13,0,0,0,29,8,11,42.1,Matches,Fulham,2024
Reiss Nelson,eng ENG,FW,25-157,5.4,1,0,0,6,9,1,23,5,6,0,0,0,29,0,4,0.0,Matches,Fulham,2024
Jorge Cuenca,es ESP,DF,25-180,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches,Fulham,2024
Tom Cairney,sct SCO,MF,34-116,5.7,3,1,0,8,18,0,19,4,5,0,0,0,45,4,8,33.3,Matches,Fulham,2024
Willian,br BRA,"FW,MF",36-280,2.9,0,0,0,1,0,0,16,1,2,0,0,0,14,1,3,25.0,Matches,Fulham,2024
Joshua King,eng ENG,MF,18-133,1.0,0,0,0,3,2,0,2,1,3,0,0,0,3,0,1,0.0,Matches,Fulham,2024
Harrison Reed,eng ENG,MF,30-109,1.2,2,0,0,6,2,0,6,1,3,0,1,0,10,1,2,33.3,Matches,Fulham,2024
Martial Godo,eng ENG,"FW,DF",22-063,0.3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0.0,Matches,Fulham,2024
Carlos Vinícius,br BRA,"MF,FW",30-052,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches,Fulham,2024
Jay Stansfield,eng ENG,MF,22-173,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,Fulham,2024
Dara O'Shea,ie IRL,DF,26-073,32.7,6,0,0,18,22,3,7,31,30,0,0,0,106,105,79,57.1,Matches,Ipswich Town,2024
Liam Delap,eng ENG,FW,22-097,28.4,10,0,0,68,50,13,5,2,8,2,0,0,67,54,74,42.2,Matches,Ipswich Town,2024
Leif Davis,eng ENG,DF,25-124,28.5,5,1,0,25,30,3,148,25,26,0,2,0,111,33,22,60.0,Matches,Ipswich Town,2024
Sam Morsy,eg EGY,MF,33-248,28.6,10,0,0,46,25,0,12,29,38,0,1,1,145,18,23,43.9,Matches,Ipswich Town,2024
Omari Hutchinson,eng ENG,"MF,FW",21-198,26.7,5,0,0,29,39,4,70,10,12,0,0,0,99,6,25,19.4,Matches,Ipswich Town,2024
Jacob Greaves,eng ENG,DF,24-246,22.5,5,0,0,13,20,1,1,19,20,0,0,0,53,71,38,65.1,Matches,Ipswich Town,2024
Jens Cajuste,se SWE,MF,25-279,20.1,2,0,0,22,21,0,9,25,20,0,0,0,99,12,22,35.3,Matches,Ipswich Town,2024
Arijanet Muric,xk KVX,GK,26-190,18.0,1,0,0,0,4,0,0,0,0,0,0,0,26,11,1,91.7,Matches,Ipswich Town,2024
Axel Tuanzebe,cd COD,DF,27-183,17.0,5,1,1,13,12,0,7,22,17,0,0,1,43,18,17,51.4,Matches,Ipswich Town,2024
Cameron Burgess,au AUS,DF,29-207,17.1,0,0,0,6,4,1,0,14,12,0,0,0,44,44,22,66.7,Matches,Ipswich Town,2024
Ben Johnson,eng ENG,"DF,FW",25-112,15.0,5,1,1,27,6,1,37,13,22,0,0,0,57,19,18,51.4,Matches,Ipswich Town,2024
Kalvin Phillips,eng ENG,MF,29-165,13.7,6,1,1,28,20,0,20,19,19,0,0,0,68,7,22,24.1,Matches,Ipswich Town,2024
Sammie Szmodics,ie IRL,"FW,MF",29-234,10.9,2,0,0,9,8,8,13,6,9,0,1,0,41,6,11,35.3,Matches,Ipswich Town,2024
Luke Woolfenden,eng ENG,DF,26-207,13.2,2,0,0,5,2,1,0,19,6,0,0,0,38,15,15,50.0,Matches,Ipswich Town,2024
Alex Palmer,eng ENG,GK,28-279,12.0,2,0,0,1,3,0,0,0,0,0,0,0,15,5,0,100.0,Matches,Ipswich Town,2024
Wes Burns,wls WAL,"FW,DF",30-174,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,Matches,Ipswich Town,2024
Jack Clarke,eng ENG,"FW,MF",24-174,12.1,2,0,0,15,21,3,13,7,17,0,0,0,68,7,17,29.2,Matches,Ipswich Town,2024
Julio Enciso,py PAR,"FW,MF",21-113,8.9,3,0,0,9,20,0,19,1,9,0,1,0,42,8,17,32.0,Matches,Ipswich Town,2024
Conor Chaplin,eng ENG,"MF,FW",28-089,8.5,2,0,0,11,6,0,9,3,5,0,0,0,25,2,9,18.2,Matches,Ipswich Town,2024
Nathan Broadhead,wls WAL,"MF,FW",27-041,6.7,1,0,0,4,13,2,9,4,3,0,0,0,30,1,9,10.0,Matches,Ipswich Town,2024
Christian Walton,eng ENG,GK,29-188,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0,Matches,Ipswich Town,2024
Jaden Philogene Bidace,eng ENG,"FW,DF",23-097,5.3,1,0,0,8,10,1,13,10,7,0,0,0,23,5,3,62.5,Matches,Ipswich Town,2024
Jack Taylor,ie IRL,MF,26-327,9.2,4,0,0,16,5,0,6,9,10,0,0,0,51,7,7,50.0,Matches,Ipswich Town,2024
Harry Clarke,eng ENG,DF,24-075,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches,Ipswich Town,2024
George Hirst,sct SCO,FW,26-090,5.8,3,0,0,12,10,2,3,2,3,0,0,0,9,31,20,60.8,Matches,Ipswich Town,2024
Conor Townsend,eng ENG,DF,32-073,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60.0,Matches,Ipswich Town,2024
Chiedozie Ogbene,ie IRL,FW,28-015,2.6,0,0,0,2,7,1,4,1,3,0,0,0,6,1,6,14.3,Matches,Ipswich Town,2024
Massimo Luongo,au AUS,MF,32-233,2.2,0,0,0,1,2,0,1,2,5,0,0,0,10,1,0,100.0,Matches,Ipswich Town,2024
Ben Godfrey,eng ENG,DF,27-121,1.8,1,0,0,1,0,0,0,2,0,0,0,0,2,3,0,100.0,Matches,Ipswich Town,2024
Ali Al Hamadi,iq IRQ,FW,23-076,1.5,3,0,0,8,3,1,0,0,0,0,0,0,4,5,9,35.7,Matches,Ipswich Town,2024
Marcus Harness,eng ENG,MF,29-081,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,,Matches,Ipswich Town,2024
George Edmundson,eng ENG,DF,27-258,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Ipswich Town,2024
Jamie Vardy,eng ENG,FW,38-125,30.5,5,0,0,22,22,27,11,5,13,2,0,0,39,49,52,48.5,Matches,Leicester City,2024
James Justin,eng ENG,DF,27-082,30.7,6,0,0,28,39,2,54,45,30,0,0,0,80,63,50,55.8,Matches,Leicester City,2024
Wout Faes,be BEL,DF,27-043,29.3,4,0,0,21,11,1,5,26,23,0,0,0,87,44,34,56.4,Matches,Leicester City,2024
Victor Bernth Kristiansen,dk DEN,DF,22-151,26.6,1,0,0,17,17,3,97,40,50,0,1,1,97,19,42,31.1,Matches,Leicester City,2024
Mads Hermansen,dk DEN,GK,24-309,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,Matches,Leicester City,2024
